id,ux,uy,uz,magnitude
54061,-0.4591079439,0.1150634366,0.8808974409,1.810000
34444,-0.2633585261,0.8561756125,-0.4445285225,1.830000
67301,-0.5814668532,-0.2947904625,0.7582841696,1.850000
86228,-0.0722623015,-0.7278009152,-0.6819706648,1.860000
41037,-0.2955707622,0.4124204597,-0.8617118364,1.860000
28360,0.0014616957,0.7077538093,0.7064576483,1.900000
82273,-0.1096112691,-0.3407154024,-0.9337549915,1.910000
42913,-0.3803595300,0.4348446691,-0.8162332643,1.930000
31681,-0.1571428468,0.9463617371,0.2823217813,1.930000
100751,0.3255842768,-0.4414184246,-0.8361487028,1.940000
11767,0.0101277346,0.0078973351,0.9999175271,1.970000
30324,-0.0940678048,0.9466316453,-0.3082852189,1.980000
46390,-0.7779321654,0.6100478503,-0.1505429058,1.990000
50583,-0.8524773632,0.3976026544,0.3394031150,2.010000
9884,0.7796750376,0.4833189948,0.3981326224,2.010000
3419,0.9339735778,0.1798370953,-0.3087911514,2.040000
92855,0.2140975792,-0.8705693159,-0.4430251605,2.050000
68933,-0.6852953893,-0.4226936864,-0.5930432336,2.060000
72607,-0.2007297022,-0.1850698322,0.9620066236,2.070000
5447,0.7755550810,0.2435556079,0.5824044833,2.070000
677,0.8732765496,0.0319895874,0.4861735639,2.070000
27366,0.0526382551,0.9843863287,-0.1679665739,2.070000
112122,0.6449338893,-0.2262552785,-0.7299786486,2.070000
86032,-0.1065273193,-0.9702435495,0.2174382325,2.080000
14576,0.5146496901,0.5527104960,0.6554744877,2.090000
9640,0.6338563816,0.3804856866,0.6733919585,2.100000
57632,-0.9667299937,0.0462388908,0.2515851430,2.140000
4427,0.4742298769,0.1198009208,0.8722119944,2.150000
61932,-0.6458468487,-0.1182730184,-0.7542501847,2.200000
39429,-0.3933293594,0.6573156186,-0.6428282761,2.210000
45556,-0.3871816234,0.3333547336,-0.8596307417,2.210000
76267,-0.5291635081,-0.7196530522,0.4495391709,2.220000
44816,-0.5310874959,0.4952681249,-0.6874994954,2.230000
65378,-0.5365392147,-0.2057731487,0.8184027629,2.230000
100453,0.4437867994,-0.6208560162,0.6462128781,2.230000
3179,0.5428052999,0.0969563717,0.8342432909,2.240000
87833,-0.0092214261,-0.6226000132,0.7824859033,2.240000
25930,0.1218385561,0.9925362045,-0.0052200547,2.250000
746,0.5123993512,0.0205894182,0.8585004256,2.280000
66657,-0.5396426942,-0.2513156698,-0.8035086787,2.290000
82396,-0.2479303813,-0.7880687551,-0.5634520062,2.290000
78401,-0.4603686757,-0.8000661899,-0.3846488974,2.290000
71860,-0.5149515251,-0.4395321927,-0.7359594951,2.300000
71352,-0.5771000856,-0.4652696910,-0.6711777752,2.330000
53910,-0.5359151682,0.1389836999,0.8327535432,2.340000
72105,-0.6694877347,-0.5870502337,0.4551463459,2.350000
107315,0.8172032283,-0.5502424675,0.1714995937,2.380000
86670,-0.0592999985,-0.7745480273,-0.6297291986,2.390000
2081,0.7346731121,0.0846544905,-0.6731188867,2.400000
58001,-0.5918716933,0.0159240398,0.8058748809,2.410000
84012,-0.2067847231,-0.9401034445,-0.2710084722,2.430000
113881,0.8558486163,-0.2142609943,0.4707604192,2.440000
35904,-0.3128495246,0.8139928587,-0.4894290560,2.450000
105199,0.3508707433,-0.2981189685,0.8877019782,2.450000
45941,-0.4426487958,0.3645246174,-0.8192581076,2.470000
102488,0.5501178312,-0.6205809759,0.5587930066,2.480000
113963,0.9371007262,-0.2303366177,0.2622732763,2.490000
14135,0.6982575539,0.7122859517,0.0713099668,2.540000
81377,-0.3476436305,-0.9195184793,-0.1833839480,2.540000
68002,-0.5939213014,-0.3276511764,-0.7347803715,2.550000
78820,-0.4509635880,-0.8257275697,-0.3388300797,2.560000
54872,-0.9178224191,0.1862650243,0.3505814423,2.560000
59803,-0.9512318484,-0.0656904552,-0.3014012853,2.580000
59196,-0.6326566073,-0.0230779502,-0.7740885127,2.580000
25985,0.1130091246,0.9452792401,-0.3060655093,2.580000
93506,0.2339429958,-0.8349137806,-0.4981863645,2.600000
74785,-0.6440118647,-0.7474413702,-0.1630340953,2.610000
77070,-0.5547039038,-0.8244864300,0.1119182999,2.630000
8903,0.8202465925,0.4483408412,0.3552267130,2.640000
28380,0.0009642556,0.7964014898,0.6047675067,2.650000
61359,-0.9074631099,-0.1371894173,-0.3971017098,2.650000
26634,0.0734558383,0.8250486073,-0.5602669323,2.650000
6686,0.4620343833,0.1816071371,0.8680685897,2.660000
73273,-0.5193111715,-0.5126959637,-0.6837095553,2.680000
67927,-0.8325575722,-0.4552596588,0.3155733385,2.680000
52727,-0.6175775361,0.2043276905,-0.7595052217,2.690000
23015,0.2272418684,0.8056548585,0.5470661589,2.690000
61585,-0.3514801231,-0.0575268162,-0.9344262349,2.690000
35264,-0.2634322987,0.7528524413,-0.6031721360,2.710000
89931,0.0793603138,-0.8638825667,-0.4974021024,2.720000
97278,0.4395624051,-0.8791263670,0.1841785082,2.720000
79593,-0.4439271540,-0.8937421133,-0.0644493352,2.730000
